name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
current_sparsity__layer_10__all_context__per_variate,current_sparsity,10,all_context,per_variate,8.565785,-2.1293566,-0.7678338
current_sparsity__layer_10__all_context__series_mean,current_sparsity,10,all_context,series_mean,7.8463936,-2.1864097,-0.7727617
current_sparsity__layer_10__final_context__per_variate,current_sparsity,10,final_context,per_variate,8.562539,-2.1516144,-0.7492869
current_sparsity__layer_10__final_context__series_mean,current_sparsity,10,final_context,series_mean,7.851167,-2.1895156,-0.76627016
current_sparsity__layer_10__first_decode__per_variate,current_sparsity,10,first_decode,per_variate,8.4417305,-2.1900225,-0.73995024
current_sparsity__layer_10__first_decode__series_mean,current_sparsity,10,first_decode,series_mean,7.80274,-2.2046115,-0.7600101
current_sparsity__layer_11__all_context__per_variate,current_sparsity,11,all_context,per_variate,8.473263,-2.117388,-0.7628903
current_sparsity__layer_11__all_context__series_mean,current_sparsity,11,all_context,series_mean,7.814068,-2.1819305,-0.7704705
current_sparsity__layer_11__final_context__per_variate,current_sparsity,11,final_context,per_variate,8.4486265,-2.1378083,-0.746242
current_sparsity__layer_11__final_context__series_mean,current_sparsity,11,final_context,series_mean,7.813447,-2.1847048,-0.76457167
current_sparsity__layer_11__first_decode__per_variate,current_sparsity,11,first_decode,per_variate,8.312243,-2.1802416,-0.7365978
current_sparsity__layer_11__first_decode__series_mean,current_sparsity,11,first_decode,series_mean,7.754116,-2.2009714,-0.75842255
future_sparsity__layer_-1__all_context__per_variate,future_sparsity,-1,all_context,per_variate,7.3516006,-2.2184317,-0.7782349
future_sparsity__layer_-1__all_context__series_mean,future_sparsity,-1,all_context,series_mean,7.3517833,-2.218737,-0.77776647
future_sparsity__layer_-1__final_context__per_variate,future_sparsity,-1,final_context,per_variate,7.373216,-2.242315,-0.7602616
future_sparsity__layer_-1__final_context__series_mean,future_sparsity,-1,final_context,series_mean,7.3563976,-2.221812,-0.77479494
future_sparsity__layer_-1__first_decode__per_variate,future_sparsity,-1,first_decode,per_variate,7.328392,-2.1824152,-0.7954189
future_sparsity__layer_-1__first_decode__series_mean,future_sparsity,-1,first_decode,series_mean,7.339302,-2.1988688,-0.78715944
future_sparsity__layer_0__all_context__per_variate,future_sparsity,0,all_context,per_variate,7.8562655,-2.2582734,-0.7748328
future_sparsity__layer_0__all_context__series_mean,future_sparsity,0,all_context,series_mean,7.5482144,-2.2338321,-0.7761076
future_sparsity__layer_0__final_context__per_variate,future_sparsity,0,final_context,per_variate,7.8482666,-2.2772038,-0.7558928
future_sparsity__layer_0__final_context__series_mean,future_sparsity,0,final_context,series_mean,7.540678,-2.2346435,-0.7697327
future_sparsity__layer_0__first_decode__per_variate,future_sparsity,0,first_decode,per_variate,7.6518497,-2.2011826,-0.7713252
future_sparsity__layer_0__first_decode__series_mean,future_sparsity,0,first_decode,series_mean,7.476996,-2.2067347,-0.7762038
future_sparsity__layer_1__all_context__per_variate,future_sparsity,1,all_context,per_variate,8.333525,-2.2582889,-0.75285685
future_sparsity__layer_1__all_context__series_mean,future_sparsity,1,all_context,series_mean,7.7236285,-2.2350357,-0.76905334
