window_id,subset,strength,mode,probe_score,forecast_regime_value,wape,mase,wql,median_spread,median_forecast_change
ds-355-T:15296,high,-0.02,steer,-0.00022490369156002998,0.0,0.32254954605512726,206.24826658533192,0.20353353023529053,48.06158447265625,4.136427879333496
ds-355-T:15296,high,0.02,steer,0.0015573268756270409,0.0,0.292244246142449,186.87011010741134,0.18046873807907104,47.272125244140625,5.393128871917725
ds-355-T:15296,high,0.05,steer,0.00096177589148283,0.0,0.3203672016627238,204.85280733409334,0.21384938061237335,66.41868591308594,5.398784160614014
ds-1752-H:0,high,0.0,baseline,-0.002700844779610634,0.0,0.7750740164777977,3.6872451785583964,0.5052032470703125,1.1703908443450928,0.0
ds-1752-H:0,high,-0.05,steer,-0.0029064668342471123,0.0,0.7935724923749019,3.775247633307478,0.5226056575775146,1.1280142068862915,0.1715419590473175
ds-1752-H:0,high,-0.02,steer,-0.0028204312548041344,0.0,0.7921249928238079,3.7683614706607265,0.5188981294631958,1.1434060335159302,0.15825264155864716
ds-1752-H:0,high,0.02,steer,-0.002498259302228689,0.0,0.7722876485958785,3.6739896425452225,0.5080382823944092,1.1561129093170166,0.15616151690483093
ds-1752-H:0,high,0.05,steer,-0.002051242161542177,0.0,0.7822896848583091,3.7215721433133537,0.5166684985160828,1.1577039957046509,0.16576117277145386
ds-1752-H:1381,high,0.0,baseline,-0.000672090332955122,0.0,1.142916642909848,4.906902976895442,0.7213202118873596,1.1906218528747559,0.0
ds-1752-H:1381,high,-0.05,steer,-0.0011958782561123371,0.0,1.1794979933048666,5.06395829520384,0.7460686564445496,1.206049919128418,0.17936795949935913
ds-1752-H:1381,high,-0.02,steer,-0.0008771889843046665,0.0,1.1614954747151403,4.986667783592565,0.7298973202705383,1.2071987390518188,0.18132704496383667
ds-1752-H:1381,high,0.02,steer,-0.00038129836320877075,0.0,1.1436244505911444,4.909941819351687,0.730688750743866,1.2201042175292969,0.1781695932149887
ds-1752-H:1381,high,0.05,steer,0.000314182136207819,0.0,1.121631241991801,4.815518012141354,0.709875762462616,1.2366564273834229,0.1784369945526123
ds-1752-H:2762,high,0.0,baseline,0.004408295266330242,0.0,0.6568459308424558,8.045424241013725,0.4297519028186798,2.699601650238037,0.0
ds-1752-H:2762,high,-0.05,steer,0.003869248554110527,0.0,0.6747244407632832,8.264410445169306,0.45079198479652405,2.44423770904541,0.32487359642982483
ds-1752-H:2762,high,-0.02,steer,0.00416184077039361,0.0,0.6635340938156224,8.127344682300695,0.4446539580821991,2.5298330783843994,0.3121276795864105
ds-1752-H:2762,high,0.02,steer,0.004561614245176315,0.0,0.6582210209449342,8.062267130228046,0.43660417199134827,2.767209529876709,0.3466264307498932
ds-1752-H:2762,high,0.05,steer,0.004433206748217344,0.0,0.6408764442121001,7.849820844814525,0.43000903725624084,3.237511396408081,0.3198899030685425
ds-1752-H:4143,high,0.0,baseline,0.006183252669870853,0.0,1.1757395373954709,2.905713944369145,0.7592816352844238,1.3535168170928955,0.0
ds-1752-H:4143,high,-0.05,steer,0.005743749905377626,0.0,1.1340529021299302,2.802689904152516,0.745048999786377,1.3312050104141235,0.19760499894618988
ds-1752-H:4143,high,-0.02,steer,0.006028932519257069,0.0,1.1806506025003645,2.9178511141275134,0.763159990310669,1.3594571352005005,0.18774659931659698
ds-1752-H:4143,high,0.02,steer,0.006262868642807007,0.0,1.161184378612165,2.8697424332529606,0.7695033550262451,1.3605988025665283,0.1980195939540863
ds-1752-H:4143,high,0.05,steer,0.006067726761102676,0.0,1.2260867624191238,3.03014170167294,0.7963128685951233,1.3550211191177368,0.1946842074394226
ds-2257-30T:0,high,0.0,baseline,0.003454056801274419,0.0,0.14086807231061257,1.1764423664458912,0.08671460300683975,0.09729865193367004,0.0
ds-2257-30T:0,high,-0.05,steer,0.0031068508978933096,0.0,0.12442771153497426,1.0391427170727587,0.07459590584039688,0.11169162392616272,0.015881042927503586
ds-2257-30T:0,high,-0.02,steer,0.0032926942221820354,0.0,0.12970051479972367,1.083177884508766,0.07968698441982269,0.11946901679039001,0.014770906418561935
ds-2257-30T:0,high,0.02,steer,0.0036470554769039154,0.0,0.13933329150909504,1.1636248334982426,0.08908423781394958,0.08969041705131531,0.013637037016451359
ds-2257-30T:0,high,0.05,steer,0.004009900148957968,0.0,0.14704587465058833,1.2280355222622816,0.09595020860433578,0.11125794798135757,0.012859904207289219
ds-2257-30T:3124,high,0.0,baseline,-0.0022350135259330273,0.0,0.08980883162293604,0.6666707085626975,0.07253336161375046,0.2648071348667145,0.0
ds-2257-30T:3124,high,-0.05,steer,-0.0036391830071806908,0.0,0.09564249291083803,0.7099752592849358,0.07440166920423508,0.24970799684524536,0.01926996186375618
ds-2257-30T:3124,high,-0.02,steer,-0.0028982488438487053,0.0,0.09841541025606476,0.7305592345791427,0.0751853808760643,0.25169822573661804,0.023437492549419403
ds-2257-30T:3124,high,0.02,steer,-0.0014658444561064243,0.0,0.10393796965843319,0.7715544075852269,0.08182594925165176,0.24907241761684418,0.025906559079885483
ds-2257-30T:3124,high,0.05,steer,-0.00033731386065483093,0.0,0.10622656354179782,0.7885431433060166,0.08145066350698471,0.25839102268218994,0.022398848086595535
ds-2257-30T:6249,high,0.0,baseline,-0.008991899900138378,0.0,0.0451368346598921,1.0161859703926794,0.07971761375665665,0.9492368698120117,0.0
ds-2257-30T:6249,high,-0.05,steer,-0.00729900598526001,0.0,0.04465137359711017,1.0052565659519805,0.06831013411283493,0.7852970361709595,0.041005998849868774
ds-2257-30T:6249,high,-0.02,steer,-0.00833686999976635,0.0,0.03836899355846761,0.8638185031359282,0.0818389430642128,1.0222511291503906,0.034861259162425995
