name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
future_sparsity__layer_8__first_decode__series_mean,future_sparsity,8,first_decode,series_mean,0.67814386,0.028219821,-0.03575808
future_sparsity__layer_9__all_context__per_variate,future_sparsity,9,all_context,per_variate,0.6777182,0.02448032,-0.03531528
future_sparsity__layer_9__all_context__series_mean,future_sparsity,9,all_context,series_mean,0.6796776,0.028362844,-0.036450397
future_sparsity__layer_9__final_context__per_variate,future_sparsity,9,final_context,per_variate,0.72286,0.009871289,-0.030869558
future_sparsity__layer_9__final_context__series_mean,future_sparsity,9,final_context,series_mean,0.6979702,0.031288173,-0.037521478
future_sparsity__layer_9__first_decode__per_variate,future_sparsity,9,first_decode,per_variate,0.67829996,0.02805532,-0.034704614
future_sparsity__layer_9__first_decode__series_mean,future_sparsity,9,first_decode,series_mean,0.6781955,0.028221877,-0.035620783
future_sparsity__layer_10__all_context__per_variate,future_sparsity,10,all_context,per_variate,0.67772853,0.02455861,-0.035643112
future_sparsity__layer_10__all_context__series_mean,future_sparsity,10,all_context,series_mean,0.67969143,0.02840386,-0.03659781
future_sparsity__layer_10__final_context__per_variate,future_sparsity,10,final_context,per_variate,0.7228826,0.009931383,-0.031181503
future_sparsity__layer_10__final_context__series_mean,future_sparsity,10,final_context,series_mean,0.6979982,0.031323176,-0.037657786
future_sparsity__layer_10__first_decode__per_variate,future_sparsity,10,first_decode,per_variate,0.6783198,0.02812628,-0.0350064
future_sparsity__layer_10__first_decode__series_mean,future_sparsity,10,first_decode,series_mean,0.67820364,0.028255507,-0.03576375
future_sparsity__layer_11__all_context__per_variate,future_sparsity,11,all_context,per_variate,0.67756,0.02466272,-0.035595294
future_sparsity__layer_11__all_context__series_mean,future_sparsity,11,all_context,series_mean,0.6796086,0.028445432,-0.036590915
future_sparsity__layer_11__final_context__per_variate,future_sparsity,11,final_context,per_variate,0.7227585,0.010047758,-0.031144878
future_sparsity__layer_11__final_context__series_mean,future_sparsity,11,final_context,series_mean,0.6979268,0.03138983,-0.037661348
future_sparsity__layer_11__first_decode__per_variate,future_sparsity,11,first_decode,per_variate,0.67830765,0.028102998,-0.034982342
future_sparsity__layer_11__first_decode__series_mean,future_sparsity,11,first_decode,series_mean,0.6781972,0.028232213,-0.035756305
current_burstiness__layer_-1__all_context__per_variate,current_burstiness,-1,all_context,per_variate,-0.44804454,-0.01940324,0.18583104
current_burstiness__layer_-1__all_context__series_mean,current_burstiness,-1,all_context,series_mean,0.25524303,0.010623094,0.013848333
current_burstiness__layer_-1__final_context__per_variate,current_burstiness,-1,final_context,per_variate,-2.3123899,0.35746524,0.35173225
current_burstiness__layer_-1__final_context__series_mean,current_burstiness,-1,final_context,series_mean,-1.0820649,-0.14393635,-0.04107382
current_burstiness__layer_-1__first_decode__per_variate,current_burstiness,-1,first_decode,per_variate,0.65812325,0.021315193,-0.033638075
current_burstiness__layer_-1__first_decode__series_mean,current_burstiness,-1,first_decode,series_mean,0.6682937,0.010268068,-0.03568095
current_burstiness__layer_0__all_context__per_variate,current_burstiness,0,all_context,per_variate,-0.4480487,-0.018332139,0.18836446
current_burstiness__layer_0__all_context__series_mean,current_burstiness,0,all_context,series_mean,0.2584594,0.011243413,0.0063640587
current_burstiness__layer_0__final_context__per_variate,current_burstiness,0,final_context,per_variate,-2.3123128,0.35828978,0.35371292
current_burstiness__layer_0__final_context__series_mean,current_burstiness,0,final_context,series_mean,-1.0788156,-0.14287418,-0.04936292
current_burstiness__layer_0__first_decode__per_variate,current_burstiness,0,first_decode,per_variate,0.6582374,0.021741256,-0.031650994
current_burstiness__layer_0__first_decode__series_mean,current_burstiness,0,first_decode,series_mean,0.6707326,0.010667698,-0.04317914
current_burstiness__layer_1__all_context__per_variate,current_burstiness,1,all_context,per_variate,-0.44774762,-0.017960992,0.19075881
current_burstiness__layer_1__all_context__series_mean,current_burstiness,1,all_context,series_mean,0.257018,0.011243648,-0.0006281203
current_burstiness__layer_1__final_context__per_variate,current_burstiness,1,final_context,per_variate,-2.3120775,0.35887572,0.3556279
current_burstiness__layer_1__final_context__series_mean,current_burstiness,1,final_context,series_mean,-1.0800807,-0.14258842,-0.056716185
current_burstiness__layer_1__first_decode__per_variate,current_burstiness,1,first_decode,per_variate,0.6584295,0.02188437,-0.029856555
current_burstiness__layer_1__first_decode__series_mean,current_burstiness,1,first_decode,series_mean,0.66930914,0.010919368,-0.0499448
current_burstiness__layer_2__all_context__per_variate,current_burstiness,2,all_context,per_variate,-0.44730467,-0.019746207,0.1903819
current_burstiness__layer_2__all_context__series_mean,current_burstiness,2,all_context,series_mean,0.25433996,0.014957489,-0.0024638453
current_burstiness__layer_2__final_context__per_variate,current_burstiness,2,final_context,per_variate,-2.3114169,0.35709712,0.35548568
current_burstiness__layer_2__final_context__series_mean,current_burstiness,2,final_context,series_mean,-1.0822245,-0.13864873,-0.058193285
current_burstiness__layer_2__first_decode__per_variate,current_burstiness,2,first_decode,per_variate,0.6590244,0.020446103,-0.030227615
current_burstiness__layer_2__first_decode__series_mean,current_burstiness,2,first_decode,series_mean,0.6671637,0.014392665,-0.051648885
current_burstiness__layer_3__all_context__per_variate,current_burstiness,3,all_context,per_variate,-0.44807097,-0.01965288,0.19144388
current_burstiness__layer_3__all_context__series_mean,current_burstiness,3,all_context,series_mean,0.2557879,0.014780853,-0.006633355
current_burstiness__layer_3__final_context__per_variate,current_burstiness,3,final_context,per_variate,-2.3119638,0.35727662,0.3565537
current_burstiness__layer_3__final_context__series_mean,current_burstiness,3,final_context,series_mean,-1.0804133,-0.13851503,-0.062924154
current_burstiness__layer_3__first_decode__per_variate,current_burstiness,3,first_decode,per_variate,0.6584565,0.020483151,-0.02929357
current_burstiness__layer_3__first_decode__series_mean,current_burstiness,3,first_decode,series_mean,0.6685562,0.014700962,-0.05601881
current_burstiness__layer_4__all_context__per_variate,current_burstiness,4,all_context,per_variate,-0.44871968,-0.017224396,0.19103989
current_burstiness__layer_4__all_context__series_mean,current_burstiness,4,all_context,series_mean,0.2550553,0.0076164566,-0.0040284107
current_burstiness__layer_4__final_context__per_variate,current_burstiness,4,final_context,per_variate,-2.3126307,0.35939088,0.35589695
current_burstiness__layer_4__final_context__series_mean,current_burstiness,4,final_context,series_mean,-1.0812246,-0.14554459,-0.060216352
current_burstiness__layer_4__first_decode__per_variate,current_burstiness,4,first_decode,per_variate,0.6579334,0.022305764,-0.030025132
current_burstiness__layer_4__first_decode__series_mean,current_burstiness,4,first_decode,series_mean,0.66752267,0.007629088,-0.05320483
current_burstiness__layer_5__all_context__per_variate,current_burstiness,5,all_context,per_variate,-0.44977173,-0.017890455,0.19228128
current_burstiness__layer_5__all_context__series_mean,current_burstiness,5,all_context,series_mean,0.25717175,0.0068721687,-0.0072053294
current_burstiness__layer_5__final_context__per_variate,current_burstiness,5,final_context,per_variate,-2.3134725,0.3594253,0.35700828
current_burstiness__layer_5__final_context__series_mean,current_burstiness,5,final_context,series_mean,-1.0785195,-0.14620034,-0.06378842
current_burstiness__layer_5__first_decode__per_variate,current_burstiness,5,first_decode,per_variate,0.65718037,0.02199323,-0.028960783
current_burstiness__layer_5__first_decode__series_mean,current_burstiness,5,first_decode,series_mean,0.669422,0.007396428,-0.055688806
current_burstiness__layer_6__all_context__per_variate,current_burstiness,6,all_context,per_variate,-0.45003945,-0.018883407,0.19186893
current_burstiness__layer_6__all_context__series_mean,current_burstiness,6,all_context,series_mean,0.25807637,0.008678782,-0.0079346495
current_burstiness__layer_6__final_context__per_variate,current_burstiness,6,final_context,per_variate,-2.313694,0.35857555,0.35658336
current_burstiness__layer_6__final_context__series_mean,current_burstiness,6,final_context,series_mean,-1.0773349,-0.14424293,-0.06454325
current_burstiness__layer_6__first_decode__per_variate,current_burstiness,6,first_decode,per_variate,0.6573307,0.021108393,-0.029208021
current_burstiness__layer_6__first_decode__series_mean,current_burstiness,6,first_decode,series_mean,0.6707304,0.009188309,-0.0564072
current_burstiness__layer_7__all_context__per_variate,current_burstiness,7,all_context,per_variate,-0.45119262,-0.019894373,0.19073008
current_burstiness__layer_7__all_context__series_mean,current_burstiness,7,all_context,series_mean,0.26185873,0.010585014,-0.0048771324
