label,run_arm,field,n,mean,ci_half
future_burstiness,fno,approx_forward_flops_per_sample,5,12356784.0,0.0
future_burstiness,fno,approx_total_flops,5,1840898852179.2,26389977767.02273
future_burstiness,fno,inference_batch_latency_ms,5,0.906907559838146,0.32133633385728505
future_burstiness,fno,inference_sample_latency_ms,5,0.01417043062247103,0.005020880216520079
future_burstiness,fno,parameter_count,5,46345.0,0.0
future_burstiness,fno,peak_vram_bytes,5,3400135680.0,22519288.816494156
future_burstiness,fno,peak_vram_reserved_bytes,5,5652244070.4,25583843.42473181
future_burstiness,fno,train_total_time_s,5,10.993817572604167,1.9084715156911414
future_burstiness,pretrained_lp,approx_forward_flops_per_sample,0,,
future_burstiness,pretrained_lp,approx_total_flops,0,,
future_burstiness,pretrained_lp,inference_batch_latency_ms,0,,
future_burstiness,pretrained_lp,inference_sample_latency_ms,0,,
future_burstiness,pretrained_lp,parameter_count,0,,
future_burstiness,pretrained_lp,peak_vram_bytes,5,0.0,0.0
future_burstiness,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
future_burstiness,pretrained_lp,train_total_time_s,5,2.723639007797465,2.404342864156569
future_burstiness,random_init_lp,approx_forward_flops_per_sample,0,,
future_burstiness,random_init_lp,approx_total_flops,0,,
future_burstiness,random_init_lp,inference_batch_latency_ms,0,,
future_burstiness,random_init_lp,inference_sample_latency_ms,0,,
future_burstiness,random_init_lp,parameter_count,0,,
future_burstiness,random_init_lp,peak_vram_bytes,5,0.0,0.0
future_burstiness,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
future_burstiness,random_init_lp,train_total_time_s,5,6.390060631604865,0.5854126545356331
future_sparsity,fno,approx_forward_flops_per_sample,5,12356784.0,0.0
future_sparsity,fno,approx_total_flops,5,1840898852179.2,26389977767.02273
future_sparsity,fno,inference_batch_latency_ms,5,0.9051100518554449,0.3180199912895936
future_sparsity,fno,inference_sample_latency_ms,5,0.014142344560241327,0.0049690623638999
future_sparsity,fno,parameter_count,5,46345.0,0.0
future_sparsity,fno,peak_vram_bytes,5,3400135680.0,22519288.816494156
future_sparsity,fno,peak_vram_reserved_bytes,5,5652244070.4,25583843.42473181
future_sparsity,fno,train_total_time_s,5,11.074213443603366,1.9814429571213756
future_sparsity,pretrained_lp,approx_forward_flops_per_sample,0,,
future_sparsity,pretrained_lp,approx_total_flops,0,,
future_sparsity,pretrained_lp,inference_batch_latency_ms,0,,
future_sparsity,pretrained_lp,inference_sample_latency_ms,0,,
future_sparsity,pretrained_lp,parameter_count,0,,
future_sparsity,pretrained_lp,peak_vram_bytes,5,0.0,0.0
future_sparsity,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
future_sparsity,pretrained_lp,train_total_time_s,5,0.7586518194002565,0.15158003456178737
future_sparsity,random_init_lp,approx_forward_flops_per_sample,0,,
future_sparsity,random_init_lp,approx_total_flops,0,,
future_sparsity,random_init_lp,inference_batch_latency_ms,0,,
future_sparsity,random_init_lp,inference_sample_latency_ms,0,,
future_sparsity,random_init_lp,parameter_count,0,,
future_sparsity,random_init_lp,peak_vram_bytes,5,0.0,0.0
future_sparsity,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
future_sparsity,random_init_lp,train_total_time_s,5,2.1590612239961047,2.5595290708952323
metric_type,fno,approx_forward_flops_per_sample,5,12356880.0,0.0
metric_type,fno,approx_total_flops,5,1771383461760.0,29662915232.132347
metric_type,fno,inference_batch_latency_ms,5,0.9045673040673137,0.3176586827189555
metric_type,fno,inference_sample_latency_ms,5,0.014133864126051776,0.004963416917483679
metric_type,fno,parameter_count,5,46395.0,0.0
metric_type,fno,peak_vram_bytes,5,3280770355.2,25805951.68674229
metric_type,fno,peak_vram_reserved_bytes,5,3622200934.4,26872200.994511437
metric_type,fno,train_total_time_s,5,11.726084393804195,2.351309203253375
metric_type,pretrained_lp,approx_forward_flops_per_sample,0,,
metric_type,pretrained_lp,approx_total_flops,0,,
metric_type,pretrained_lp,inference_batch_latency_ms,0,,
metric_type,pretrained_lp,inference_sample_latency_ms,0,,
metric_type,pretrained_lp,parameter_count,0,,
metric_type,pretrained_lp,peak_vram_bytes,5,0.0,0.0
metric_type,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
metric_type,pretrained_lp,train_total_time_s,5,25.58008768800064,14.340978426743243
metric_type,random_init_lp,approx_forward_flops_per_sample,0,,
metric_type,random_init_lp,approx_total_flops,0,,
metric_type,random_init_lp,inference_batch_latency_ms,0,,
metric_type,random_init_lp,inference_sample_latency_ms,0,,
metric_type,random_init_lp,parameter_count,0,,
metric_type,random_init_lp,peak_vram_bytes,5,0.0,0.0
metric_type,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
metric_type,random_init_lp,train_total_time_s,5,18.201442424801645,5.370036300959835
shift_risk,fno,approx_forward_flops_per_sample,5,12356784.0,0.0
shift_risk,fno,approx_total_flops,5,1840898852179.2,26389977767.02273
shift_risk,fno,inference_batch_latency_ms,5,0.9175166239729151,0.3329021787100332
