label,task_type,method,model_id,weight_source,backbone_train_mode,checkpoint_path,randomize_scope,randomize_layers,seed,layer,token_position,pooling_mode,artifact_path,train_accuracy,train_macro_f1,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,baseline_train_accuracy,baseline_train_macro_f1,baseline_val_accuracy,baseline_val_macro_f1,baseline_test_accuracy,baseline_test_macro_f1,shuffled_train_accuracy,shuffled_train_macro_f1,shuffled_val_accuracy,shuffled_val_macro_f1,shuffled_test_accuracy,shuffled_test_macro_f1,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,baseline_train_r2,baseline_train_rmse,baseline_train_mae,baseline_val_r2,baseline_val_rmse,baseline_val_mae,baseline_test_r2,baseline_test_rmse,baseline_test_mae,shuffled_train_r2,shuffled_train_rmse,shuffled_train_mae,shuffled_val_r2,shuffled_val_rmse,shuffled_val_mae,shuffled_test_r2,shuffled_test_rmse,shuffled_test_mae,run_arm,issue3_matched_metric_name,issue3_reference
metric_type,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],43,9,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed43/probes/artifacts/metric_type__layer_9__all_context__series_mean.pt,0.5130750868055556,0.4911075824694872,0.4247718539865514,0.3845487974795167,0.4387512512512512,0.4015613732653582,0.4079861111111111,0.3704832522887502,0.3611911623439001,0.3302126698584217,0.4204204204204204,0.3898302790623296,0.3619249131944444,0.3423794846862782,0.357768972142171,0.3410451122514473,0.3614864864864865,0.3449452229319241,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_init_lp,test_accuracy,0.61
domain,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],43,5,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed43/probes/artifacts/domain__layer_5__all_context__series_mean.pt,0.5073602794411177,0.4787594522081542,0.4279299175500589,0.3762707822813609,0.4300650557620817,0.3743380306166208,0.4241516966067864,0.4160437050189278,0.408716136631331,0.3957265088793338,0.4114002478314746,0.3914636510649245,0.3491142714570858,0.3203991460969938,0.3387809187279152,0.3109484865461954,0.3488228004956629,0.3140763497744425,,,,,,,,,,,,,,,,,,,,,,,,,,,,random_init_lp,test_accuracy,0.592
shift_risk,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],43,5,final_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed43/probes/artifacts/shift_risk__layer_5__final_context__series_mean.pt,,,,,,,,,,,,,,,,,,,0.2075968965115293,90778.81638272744,29065.16357236069,-0.1685218764321707,81490.36946101466,38127.319806505926,-0.0206317029992721,112403.65801989991,40426.9626962236,0.0084655263751908,101546.5893156287,26671.036988077503,0.045665465251105,73644.13799491504,26166.917776490896,0.0489548423572632,108504.18447918394,29310.70504630991,-0.0807529564238893,106016.78943687874,32617.62970171025,-0.1394074544269032,80468.7752477191,36297.349686916576,-0.036597865047635,113279.43463372596,37617.9112436538,random_init_lp,test_r2,0.165
coordination,continuous,linear_probe,Datadog/Toto-Open-Base-1.0,random_init,frozen,,full,[],43,11,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed43/probes/artifacts/coordination__layer_11__all_context__series_mean.pt,,,,,,,,,,,,,,,,,,,0.1048083694876994,0.437226880049165,0.399212306718478,-0.0707466372687055,0.4731379666340451,0.430087101622699,-0.0617702616192414,0.4588501754172581,0.4130539300806106,0.0920741196525967,0.4403257111622543,0.4070031207796879,0.0703148869587931,0.4408718583300152,0.4073406771729732,0.0377266460146485,0.4368223525182792,0.3981151520007834,-0.0334819624340789,0.4697862461800268,0.4419954968639791,-0.0384787127144021,0.4659542086970522,0.4359201691180195,-0.0530926066670964,0.4569712791187108,0.4240221290504348,random_init_lp,test_r2,0.122
cardinality_bucket,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/cardinality_bucket__fno__window.pt,0.9933665008291874,0.9939652948637892,0.9709737827715356,0.9541392552656632,0.9670542635658916,0.9474923095867542,0.7694859038142621,0.6220017195567058,0.7612359550561798,0.6060155878135767,0.7422480620155039,0.6329347299775476,0.5165837479270315,0.3631506565912665,0.5131086142322098,0.3937713345476219,0.4757751937984496,0.3629883263176872,,,,,,,,,,,,,,,,,,,,,,,,,,,,fno,,
domain,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/domain__fno__window.pt,0.5558882235528942,0.5156898656898656,0.4652532391048292,0.4144002080706575,0.4411400247831474,0.4021277016862756,0.4221556886227545,0.4141724269026059,0.4063604240282685,0.394326188575609,0.4064436183395291,0.3878790167449961,0.3473053892215569,0.3000172783191651,0.3439340400471142,0.2836179077578302,0.3258983890954151,0.2783172106482444,,,,,,,,,,,,,,,,,,,,,,,,,,,,fno,,
frequency_bucket,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/frequency_bucket__fno__window.pt,0.8325041459369817,0.6746791019662516,0.7846441947565543,0.6240702763919073,0.7577519379844961,0.5918109040280986,0.4461028192371476,0.4047137688869972,0.4082397003745318,0.3830020622175419,0.4738372093023256,0.4303958430533066,0.8739635157545605,0.4728354019762346,0.8520599250936329,0.3067071115604988,0.8488372093023255,0.4591194968553459,,,,,,,,,,,,,,,,,,,,,,,,,,,,fno,,
metric_type,categorical,fno,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,,[],43,-2,window,window,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_fno_seed43/probes/artifacts/metric_type__fno__window.pt,0.4618055555555556,0.4570640358457418,0.3515850144092219,0.3492358644400278,0.4114114114114114,0.4048852205800294,0.4097222222222222,0.3733528120143555,0.3611911623439001,0.3298163430996024,0.4214214214214214,0.390223101860624,0.4010416666666667,0.2584684069216086,0.3659942363112392,0.2361607844532818,0.3403403403403403,0.225614176767501,,,,,,,,,,,,,,,,,,,,,,,,,,,,fno,,
frequency_bucket,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,full,[],44,5,final_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed44/probes/artifacts/frequency_bucket__layer_5__final_context__series_mean.pt,0.9959644874899112,0.991540410075037,0.877906976744186,0.7727587291601132,0.8701550387596899,0.7357527210468386,0.4035512510088781,0.3810967098703888,0.3885658914728682,0.3751893788565403,0.375,0.3533099582921647,0.7675544794188862,0.5162728150180568,0.6598837209302325,0.4687613200892261,0.6744186046511628,0.4770491111017271,,,,,,,,,,,,,,,,,,,,,,,,,,,,pretrained_lp,test_accuracy,0.835
metric_type,categorical,linear_probe,Datadog/Toto-Open-Base-1.0,pretrained,frozen,,full,[],44,9,all_context,series_mean,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_pretrained_seed44/probes/artifacts/metric_type__layer_9__all_context__series_mean.pt,0.7322550251256281,0.7226061853503017,0.5726047904191617,0.5449117805781328,0.6024517276422764,0.5495841166091906,0.4020100502512563,0.3996518629571238,0.3722554890219561,0.3646557310610774,0.3516260162601626,0.3377772138555204,0.3348513400335008,0.3218694423986437,0.3396332335329341,0.3158987843575899,0.344385162601626,0.3202345623339419,,,,,,,,,,,,,,,,,,,,,,,,,,,,pretrained_lp,test_accuracy,0.61
