seed,label,run_arm,train_total_time_s,peak_vram_bytes,peak_vram_reserved_bytes,approx_forward_flops_per_sample,approx_total_flops,parameter_count,inference_batch_latency_ms,inference_sample_latency_ms
45,shift_risk,fno,12.264650575991254,3381066752.0,5653921792.0,12356784.0,1834760001888.0,46345.0,1.3010298000881448,0.020328590626377263
46,cardinality_bucket,pretrained_lp,75.42597194798873,0.0,0.0,,,,,
46,coordination,pretrained_lp,0.5824883420136757,0.0,0.0,,,,,
46,current_burstiness,pretrained_lp,1.1687634309928399,0.0,0.0,,,,,
46,current_sparsity,pretrained_lp,0.7723991439852398,0.0,0.0,,,,,
46,domain,pretrained_lp,19.416723625006853,0.0,0.0,,,,,
46,frequency_bucket,pretrained_lp,10.092856678995304,0.0,0.0,,,,,
46,future_burstiness,pretrained_lp,4.911469529994065,0.0,0.0,,,,,
46,future_sparsity,pretrained_lp,0.5486558389966376,0.0,0.0,,,,,
46,metric_type,pretrained_lp,9.500920551014133,0.0,0.0,,,,,
46,shift_risk,pretrained_lp,0.6249653150152881,0.0,0.0,,,,,
46,cardinality_bucket,random_init_lp,4.7581717369903345,0.0,0.0,,,,,
46,coordination,random_init_lp,1.2294559339934494,0.0,0.0,,,,,
46,current_burstiness,random_init_lp,6.271276129991747,0.0,0.0,,,,,
46,current_sparsity,random_init_lp,1.7945761240262073,0.0,0.0,,,,,
46,domain,random_init_lp,138.3842297650117,0.0,0.0,,,,,
46,frequency_bucket,random_init_lp,12.032558637991315,0.0,0.0,,,,,
46,future_burstiness,random_init_lp,6.2567161149927415,0.0,0.0,,,,,
46,future_sparsity,random_init_lp,2.676779685978545,0.0,0.0,,,,,
46,metric_type,random_init_lp,20.876734939025482,0.0,0.0,,,,,
46,shift_risk,random_init_lp,0.8181551359884907,0.0,0.0,,,,,
46,cardinality_bucket,fno,19.106349834997673,3365263872.0,5601492992.0,12356928.0,1817209831680.0,46420.0,1.3000547199044377,0.02031335499850684
46,coordination,fno,15.439936884999042,3365263360.0,5601492992.0,12356784.0,1817188655040.0,46345.0,1.3026597601128742,0.02035405875176366
46,current_burstiness,fno,15.257079818984494,3365263360.0,5601492992.0,12356784.0,1817188655040.0,46345.0,1.3013467198470607,0.020333542497610324
46,current_sparsity,fno,20.13757247000467,3365263360.0,5601492992.0,12356784.0,1817188655040.0,46345.0,1.3107604597462341,0.020480632183534908
46,domain,fno,16.997479537996696,2690382336.0,3577741312.0,12356880.0,1468442191680.0,46395.0,1.2977421999676153,0.02027722187449399
46,frequency_bucket,fno,17.381085875997087,3365263872.0,5601492992.0,12356880.0,1817202772800.0,46395.0,1.2872909399447963,0.02011392093663744
46,future_burstiness,fno,14.218722588993842,3365263360.0,5601492992.0,12356784.0,1817188655040.0,46345.0,1.3108063396066427,0.020481349056353793
46,future_sparsity,fno,13.960809464013437,3365263360.0,5601492992.0,12356784.0,1817188655040.0,46345.0,1.301672919653356,0.02033863936958369
46,metric_type,fno,14.834326276992215,3232758272.0,3569352704.0,12356880.0,1744470177120.0,46395.0,1.2963175604818389,0.020254961882528733
46,shift_risk,fno,13.793062747019576,3365263360.0,5601492992.0,12356784.0,1817188655040.0,46345.0,1.3630201597698033,0.021297189996403176
