benchmark,dataset_name,probe_label,probe_path,layer,token_position,pooling_mode,transfer_r2,transfer_rmse,transfer_mae,baseline_transfer_r2,baseline_transfer_rmse,baseline_transfer_mae,transfer_count
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_sparsity__layer_-1__final_context__per_variate.pt,-1,final_context,per_variate,-0.6053971746045499,0.08841299248273225,0.06870269529717175,0.8239198833933477,0.029280602014205223,0.017347627366411638,42.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_sparsity__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-0.6282637034330723,0.0890404228966584,0.06871350993974747,0.8301215503687434,0.028760338118023525,0.017020363732016527,6.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_sparsity__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,-0.24144367940985045,0.07774784388028179,0.06845165810491714,0.8239198833933477,0.029280602014205223,0.017347627366411638,42.0
fev,ETT_15T,future_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_sparsity__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-0.2576273977290966,0.07825297151490757,0.0702400349421981,0.8301215503687434,0.028760338118023525,0.017020363732016527,6.0
fev,ETT_15T,shift_risk,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/shift_risk__layer_-1__all_context__series_mean.pt,-1,all_context,series_mean,-0.13746820247014546,10476.273861982094,4954.858737863767,-0.11935833320589873,10392.541771584436,5059.0997459590435,96.0
fev,ETT_15T,shift_risk,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/shift_risk__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-0.11935833320589873,10392.541771584436,5059.0997459590435,-0.11935833320589873,10392.541771584436,5059.0997459590435,6.0
fev,ETT_15T,shift_risk,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/shift_risk__layer_0__final_context__series_mean.pt,0,final_context,series_mean,-0.30149286786242313,11206.193226359446,5393.298165897529,-0.11935833320589873,10392.541771584436,5059.0997459590435,6.0
fev,ETT_15T,shift_risk,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/shift_risk__layer_11__all_context__per_variate.pt,11,all_context,per_variate,-0.22849004753347457,10887.37123426373,5255.64594177488,-0.11935833320589895,10392.541771584436,5059.0997459590435,672.0
fev,ETT_15T,shift_risk,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/shift_risk__layer_11__final_context__per_variate.pt,11,final_context,per_variate,-0.1970006103001014,10746.9294109056,5173.176332288912,-0.1193583332058985,10392.541771584436,5059.0997459590435,42.0
fev,ETT_15T,shift_risk,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/shift_risk__layer_11__first_decode__per_variate.pt,11,first_decode,per_variate,-0.30149959913592217,11206.222205332679,5393.6229102909565,-0.1193583332058985,10392.541771584436,5059.0997459590435,42.0
fev,entsoe_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__all_context__per_variate.pt,-1,all_context,per_variate,-1.7508705708458492,0.6181143559746235,0.6065594844903432,-713.615091803436,9.962534621461074,9.76385669327267,288.0
fev,entsoe_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__all_context__series_mean.pt,-1,all_context,series_mean,-0.9064307478939271,0.5145697701173292,0.5141083512840936,-26840.4406961945,61.05716890318006,57.19938716340867,288.0
fev,entsoe_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__final_context__per_variate.pt,-1,final_context,per_variate,-1.742212778758891,0.6171408963427516,0.6059442139147673,-713.8618551564416,9.96425455173281,9.765156822611031,18.0
fev,entsoe_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,-1.5243026326650804,0.592112816843336,0.5760313479185677,-26813.911185404268,61.02698763821656,57.15867721720027,18.0
fev,entsoe_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,-1.8528097768578853,0.6294629299006819,0.6183551996194958,-713.8618551564416,9.96425455173281,9.765156822611031,18.0
fev,entsoe_15T,coordination,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/coordination__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-0.5484577572736504,0.46374947697988633,0.30640010980507837,-26813.911185404268,61.02698763821656,57.15867721720027,18.0
fev,entsoe_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_burstiness__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,-24821229.29273628,998.850441516456,998.8504213955667,-24935627.978640907,1001.1495986791145,1001.1495786044333,18.0
fev,entsoe_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_burstiness__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-24821229.29273628,998.850441516456,998.8504213955667,-24935627.978640907,1001.1495986791145,1001.1495786044333,18.0
fev,entsoe_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_burstiness__layer_0__all_context__series_mean.pt,0,all_context,series_mean,-24615015.58836202,994.6925846154434,991.6302088543242,-24935627.97864091,1001.1495986791145,1001.1495786044333,288.0
fev,entsoe_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_burstiness__layer_0__final_context__per_variate.pt,0,final_context,per_variate,-23538104.61889738,972.6902609908835,946.335660705215,-24935627.978640907,1001.1495986791145,1001.1495786044333,18.0
fev,entsoe_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_burstiness__layer_0__final_context__series_mean.pt,0,final_context,series_mean,-24856325.581172187,999.5563605944491,999.5557781391674,-24935627.978640907,1001.1495986791145,1001.1495786044333,18.0
fev,entsoe_15T,current_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_burstiness__layer_11__all_context__per_variate.pt,11,all_context,per_variate,-24345326.624770947,989.228512704409,982.4581255089727,-24935627.97864091,1001.1495986791145,1001.1495786044333,288.0
fev,entsoe_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_sparsity__layer_-1__all_context__per_variate.pt,-1,all_context,per_variate,0.0,0.019649464529505577,0.019588371473345634,0.0,0.00010110014437210236,9.866811384330734e-05,288.0
fev,entsoe_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_sparsity__layer_-1__all_context__series_mean.pt,-1,all_context,series_mean,0.0,0.018386612228925847,0.018294588319442275,0.0,0.0006735874102378416,0.0006671427447152012,288.0
fev,entsoe_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_sparsity__layer_-1__final_context__per_variate.pt,-1,final_context,per_variate,0.0,0.021518439483412158,0.021442930460472544,0.0,0.0016173309257677523,0.0015784311408934381,18.0
fev,entsoe_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_sparsity__layer_-1__final_context__series_mean.pt,-1,final_context,series_mean,0.0,0.019462197372874055,0.019257234083326445,0.0,0.010765226703055991,0.01066203116503788,18.0
fev,entsoe_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_sparsity__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,0.0,0.04438871355907652,0.04435884140704113,0.0,0.0016173309257677523,0.0015784311408934381,18.0
fev,entsoe_15T,current_sparsity,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/current_sparsity__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,0.0,0.05400930262779239,0.05298470662224261,0.0,0.010765226703055991,0.01066203116503788,18.0
fev,entsoe_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_burstiness__layer_-1__first_decode__per_variate.pt,-1,first_decode,per_variate,-10515211.852187913,1001.1577172404883,1001.1576696352827,-10466631.83064708,998.8423780802731,998.8423303647173,18.0
fev,entsoe_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_burstiness__layer_-1__first_decode__series_mean.pt,-1,first_decode,series_mean,-10466631.83064708,998.8423780802731,998.8423303647173,-10515211.852187913,1001.1577172404883,1001.1576696352827,18.0
fev,entsoe_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_burstiness__layer_0__all_context__series_mean.pt,0,all_context,series_mean,-10432267.162162526,997.2013007410136,995.2808884757776,-10515211.852187917,1001.1577172404883,1001.1576696352827,288.0
fev,entsoe_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_burstiness__layer_0__final_context__per_variate.pt,0,final_context,per_variate,-10467689.521659167,998.8928451184452,998.8927402546009,-10466631.83064708,998.8423780802731,998.8423303647173,18.0
fev,entsoe_15T,future_burstiness,/scratch/rianatri/toto-interp/runs/pr2_operational_issue3/operational_random_init_seed42/probes/artifacts/future_burstiness__layer_0__final_context__series_mean.pt,0,final_context,series_mean,-9667780.717519412,959.9682808431731,943.0431286701953,-10515211.852187913,1001.1577172404883,1001.1576696352827,18.0
